Title,Author,Year Published,Summary,average_rating,total_reviews,Genre
To Kill a Mockingbird,Harper Lee,1960,"A coming-of-age story set in the American South, dealing with issues of race, class, and morality.",4.953738176810233,298,Non-Fiction
1984,George Orwell,1949,"A totalitarian regime uses surveillance, censorship, and propaganda to maintain control over the populace.",4.5159769562393794,207,Non-Fiction
Pride and Prejudice,Jane Austen,1813,A classic tale of love and misunderstandings between Elizabeth Bennet and Mr. Darcy.,1.17775434665199,532,Fantasy
The Great Gatsby,F. Scott Fitzgerald,1925,"A story of wealth, love, and the American Dream, centered around the enigmatic Jay Gatsby.",4.0646471834381375,203,Non-Fiction
Moby Dick,Herman Melville,1851,The obsessive quest of Captain Ahab for revenge against the white whale Moby Dick.,1.243316230748757,989,Non-Fiction
War and Peace,Leo Tolstoy,1869,"A detailed chronicle of Russian society during the Napoleonic Era, focusing on five aristocratic families.",1.530516809241615,581,Fiction
Brave New World,Aldous Huxley,1932,A future society where people are genetically engineered and controlled through pleasure and conditioning.,4.78928472452097,807,Fantasy
The Catcher in the Rye,J.D. Salinger,1951,"A teenager, Holden Caulfield, navigates the challenges of adolescence and identity in New York City.",1.2425442465078493,80,Fantasy
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,1954,The first part of an epic tale of a young hobbit’s journey to destroy a powerful ring.,1.756528526982604,242,Fantasy
Crime and Punishment,Fyodor Dostoevsky,1866,The moral dilemmas faced by a young man who commits murder and grapples with guilt and redemption.,3.5256953984664285,214,Fantasy
The Hobbit,J.R.R. Tolkien,1937,A hobbit named Bilbo Baggins embarks on an unexpected adventure with a group of dwarves.,4.023303896878339,425,Fantasy
The Adventures of Huckleberry Finn,Mark Twain,1884,"A boy and a runaway slave travel down the Mississippi River, facing societal challenges and moral dilemmas.",4.093968343988871,230,Non-Fiction
Jane Eyre,Charlotte Brontë,1847,An orphaned girl faces hardships and overcomes obstacles to find love and independence.,2.1255004169018195,566,Non-Fiction
Wuthering Heights,Emily Brontë,1847,A tale of passionate but doomed love set on the Yorkshire moors.,1.7054770343290802,96,Fantasy
Frankenstein,Mary Shelley,1818,"A scientist creates a sentient being, leading to tragic consequences for both creator and creature.",4.99048946200362,739,Sci-Fi
The Grapes of Wrath,John Steinbeck,1939,The struggles of a poor family migrating from the Dust Bowl to California during the Great Depression.,4.1809057933253495,405,Fiction
The Alchemist,Paulo Coelho,1988,A shepherd boy’s journey to find a hidden treasure teaches him about life and following his dreams.,2.313427989815559,390,Fiction
The Picture of Dorian Gray,Oscar Wilde,1890,A young man’s portrait ages and bears the marks of his sins while he remains youthful and unmarked.,1.7953336892156448,315,Sci-Fi
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,A young boy discovers he is a wizard and begins his education at Hogwarts School of Witchcraft and Wizardry.,4.150547351632897,725,Non-Fiction
The Road,Cormac McCarthy,2006,"A father and son journey through a bleak, desolate world, struggling to survive.",1.7731513181128964,823,Fiction
One Hundred Years of Solitude,Gabriel García Márquez,1967,"The epic tale of the Buendía family in the fictional town of Macondo, blending reality with the fantastical.",4.463145745668487,890,Fiction
Anna Karenina,Leo Tolstoy,1877,"The tragic story of a married woman’s affair with a count, set against the backdrop of Russian society.",1.3404634310900958,445,Sci-Fi
The Brothers Karamazov,Fyodor Dostoevsky,1880,"A deep exploration of faith, doubt, and morality through the story of three brothers and their father’s murder.",2.5208024942957694,142,Sci-Fi
Dracula,Bram Stoker,1897,"The story of Count Dracula’s attempt to move from Transylvania to England, and the efforts to stop him.",3.5533963646544064,233,Fiction
The Stranger,Albert Camus,1942,A novel about an indifferent man who commits murder and faces the absurdity of life and justice.,4.421444519577641,203,Fiction
Lolita,Vladimir Nabokov,1955,The controversial story of a middle-aged man’s obsession with a 12-year-old girl.,4.69705604638632,352,Fiction
Beloved,Toni Morrison,1987,"The haunting story of a runaway slave and the ghost of her dead daughter, exploring the legacy of slavery.",3.6365493620920346,872,Non-Fiction
Catch-22,Joseph Heller,1961,"A satirical take on war and bureaucracy, centered around a group of American bomber pilots in WWII.",4.972857315835977,827,Sci-Fi
Slaughterhouse-Five,Kurt Vonnegut,1969,"The surreal experiences of a soldier who becomes “unstuck in time,” experiencing events out of sequence.",2.393354504480957,608,Fantasy
Fahrenheit 451,Ray Bradbury,1953,"A future society where books are banned and “firemen” burn them, focusing on one man’s awakening.",1.9192463562573,181,Fiction
